id;bank_transaciton;accumulate;memory;time_elapsed;exec_date
1;100000;5000050000;0.00;0.16;12/03/2022 16:15
2;200000;20000100000;14.0;0.26;12/03/2022 16:15
3;300000;45000150000;15.0;0.46;12/03/2022 16:15
4;400000;80000200000;54.0;0.58;12/03/2022 16:15
5;500000;1,25E+11;55.0;0.72;12/03/2022 16:15
6;100000;5000050000;83.0;0.13;12/03/2022 16:20
7;200000;20000100000;83.0;0.37;12/03/2022 16:20
8;300000;45000150000;84.0;0.44;12/03/2022 16:20
9;400000;80000200000;37.0;0.78;12/03/2022 16:20
10;500000;1,25E+11;38.0;0.76;12/03/2022 16:20
11;100000;5000050000;38.0;0.13;12/03/2022 17:54
12;200000;20000100000;38.0;0.26;12/03/2022 17:54
13;300000;45000150000;39.0;0.37;12/03/2022 17:54
14;400000;80000200000;34.0;0.47;12/03/2022 17:54
15;500000;1,25E+11;35.0;0.57;12/03/2022 17:54
16;1000;500500;35.0;0.00;12/03/2022 17:54
17;1100;605550;35.0;0.00;12/03/2022 17:54
18;1200;720600;33.0;0.00;12/03/2022 17:54
19;1300;845650;31.0;0.00;12/03/2022 17:54
20;1400;980700;16.0;0.00;12/03/2022 17:54
21;1500;1125750;16.0;0.00;12/03/2022 17:54
22;1600;1280800;16.0;0.00;12/03/2022 17:54
23;1700;1445850;36.0;0.00;12/03/2022 17:54
24;1800;1620900;17.0;0.00;12/03/2022 17:54
25;1900;1805950;17.0;0.00;12/03/2022 17:54
26;2000;2001000;17.0;0.00;12/03/2022 17:54
27;2100;2206050;17.0;0.00;12/03/2022 17:54
28;2200;2421100;17.0;0.00;12/03/2022 17:54
29;2300;2646150;17.0;0.00;12/03/2022 17:54
30;2400;2881200;17.0;0.00;12/03/2022 17:54
31;2500;3126250;17.0;0.00;12/03/2022 17:54
32;2600;3381300;17.0;0.00;12/03/2022 17:54
33;2700;3646350;17.0;0.00;12/03/2022 17:54
34;2800;3921400;17.0;0.00;12/03/2022 17:54
35;2900;4206450;17.0;0.00;12/03/2022 17:54
36;3000;4501500;17.0;0.00;12/03/2022 17:54
37;3100;4806550;17.0;0.00;12/03/2022 17:54
38;3200;5121600;17.0;0.00;12/03/2022 17:54
39;3300;5446650;17.0;0.00;12/03/2022 17:54
40;3400;5781700;17.0;0.00;12/03/2022 17:54
41;3500;6126750;17.0;0.00;12/03/2022 17:54
42;3600;6481800;17.0;0.00;12/03/2022 17:54
43;3700;6846850;17.0;0.00;12/03/2022 17:54
44;3800;7221900;17.0;0.00;12/03/2022 17:54
45;3900;7606950;17.0;0.00;12/03/2022 17:54
46;4000;8002000;17.0;0.00;12/03/2022 17:54
47;4100;8407050;17.0;0.00;12/03/2022 17:54
48;4200;8822100;17.0;0.00;12/03/2022 17:54
49;4300;9247150;17.0;0.00;12/03/2022 17:54
50;4400;9682200;17.0;0.00;12/03/2022 17:54
51;4500;10127250;17.0;0.00;12/03/2022 17:54
52;4600;10582300;17.0;0.00;12/03/2022 17:54
53;4700;11047350;17.0;0.00;12/03/2022 17:54
54;4800;11522400;18.0;0.01;12/03/2022 17:54
55;4900;12007450;18.0;0.00;12/03/2022 17:54
56;5000;12502500;18.0;0.01;12/03/2022 17:54
57;5100;13007550;18.0;0.01;12/03/2022 17:54
58;5200;13522600;18.0;0.01;12/03/2022 17:54
59;5300;14047650;18.0;0.01;12/03/2022 17:54
60;5400;14582700;18.0;0.01;12/03/2022 17:54
61;5500;15127750;18.0;0.01;12/03/2022 17:54
62;5600;15682800;18.0;0.01;12/03/2022 17:54
63;5700;16247850;18.0;0.01;12/03/2022 17:54
64;5800;16822900;18.0;0.01;12/03/2022 17:54
65;5900;17407950;18.0;0.01;12/03/2022 17:54
66;100;5050;18.0;0.00;12/03/2022 17:54
67;200;20100;18.0;0.00;12/03/2022 17:54
68;300;45150;18.0;0.00;12/03/2022 17:54
69;400;80200;85.0;0.00;12/03/2022 17:54
70;500;125250;86.0;0.00;12/03/2022 17:54
71;10;55;14.0;0.00;12/03/2022 17:54
72;20;210;14.0;0.00;12/03/2022 17:54
73;30;465;15.0;0.00;12/03/2022 17:54
74;40;820;54.0;0.00;12/03/2022 17:54
75;50;1275;55.0;0.00;12/03/2022 17:54
76;1000000;5,00E+11;83.0;1.31;12/03/2022 17:54
77;2000000;2,00E+12;83.0;2.55;12/03/2022 17:54
78;3000000;4,50E+12;84.0;4.19;12/03/2022 17:54
79;4000000;8,00E+12;37.0;5.30;12/03/2022 17:54
80;5000000;1,25E+13;38.0;6.89;12/03/2022 17:54
